company,ticker,year,year_end_price,dividend_per_share,dividend_yield,dividend_growth,dividend_growth_category,annual_stock_return,return_category,total_return,return_volatility,average_return,dividend_consistency
Procter & Gamble,PG,2018,91.91999816894533,2.841,3.09,3.69,Increased,0.04,Positive,3.13,14.34,6.93,90.91
Procter & Gamble,PG,2019,124.9000015258789,2.955,2.37,4.01,Increased,35.88,Positive,38.25,14.34,6.93,90.91
Procter & Gamble,PG,2020,139.13999938964844,3.119,2.24,5.55,Increased,11.4,Positive,13.64,14.34,6.93,90.91
Procter & Gamble,PG,2021,163.5800018310547,3.401,2.08,9.04,Increased,17.57,Positive,19.65,14.34,6.93,90.91
Procter & Gamble,PG,2022,151.55999755859375,3.609,2.38,6.12,Increased,-7.35,Negative,-4.97,14.34,6.93,90.91
Procter & Gamble,PG,2023,146.5399932861328,3.736,2.55,3.52,Increased,-3.31,Negative,-0.76,14.34,6.93,90.91
Procter & Gamble,PG,2024,167.64999389648438,3.962,2.36,6.05,Increased,14.41,Positive,16.77,14.34,6.93,90.91
Procter & Gamble,PG,2025,143.30999755859375,4.178,2.92,5.45,Increased,-14.52,Negative,-11.6,14.34,6.93,90.91
Verizon,VZ,2015,46.220001220703125,2.215,4.79,,First Year,,First Year,,11.33,-0.64,90.91
Verizon,VZ,2016,53.380001068115234,2.273,4.26,2.62,Increased,15.49,Positive,19.75,11.33,-0.64,90.91
Verizon,VZ,2017,52.93000030517578,2.324,4.39,2.24,Increased,-0.84,Negative,3.55,11.33,-0.64,90.91
Verizon,VZ,2018,56.220001220703125,2.373,4.22,2.11,Increased,6.22,Positive,10.44,11.33,-0.64,90.91
Verizon,VZ,2019,61.400001525878906,2.424,3.95,2.15,Increased,9.21,Positive,13.16,11.33,-0.64,90.91
Verizon,VZ,2020,58.75,2.473,4.21,2.02,Increased,-4.32,Negative,-0.11,11.33,-0.64,90.91
Verizon,VZ,2021,51.959999084472656,2.524,4.86,2.06,Increased,-11.56,Negative,-6.7,11.33,-0.64,90.91
Verizon,VZ,2022,39.400001525878906,2.573,6.53,1.94,Increased,-24.17,Negative,-17.64,11.33,-0.64,90.91
Verizon,VZ,2023,37.70000076293945,2.624,6.96,1.98,Increased,-4.31,Negative,2.65,11.33,-0.64,90.91
Verizon,VZ,2024,39.9900016784668,2.673,6.68,1.87,Increased,6.07,Positive,12.75,11.33,-0.64,90.91
Verizon,VZ,2025,40.72999954223633,2.724,6.69,1.91,Increased,1.85,Positive,8.54,11.33,-0.64,90.91
Walmart,WMT,2015,20.433332443237305,0.653332,3.2,,First Year,,First Year,,23.44,20.36,90.91
Walmart,WMT,2016,23.040000915527344,0.666668,2.89,2.04,Increased,12.76,Positive,15.65,23.44,20.36,90.91
Walmart,WMT,2017,32.91666793823242,0.68,2.07,2.0,Increased,42.87,Positive,44.94,23.44,20.36,90.91
Walmart,WMT,2018,31.049999237060547,0.693332,2.23,1.96,Increased,-5.67,Negative,-3.44,23.44,20.36,90.91
Walmart,WMT,2019,39.61333465576172,0.706668,1.78,1.92,Increased,27.58,Positive,29.36,23.44,20.36,90.91
Walmart,WMT,2020,48.04999923706055,0.72,1.5,1.89,Increased,21.3,Positive,22.8,23.44,20.36,90.91
Walmart,WMT,2021,48.22999954223633,0.733332,1.52,1.85,Increased,0.37,Positive,1.89,23.44,20.36,90.91
Walmart,WMT,2022,47.26333236694336,0.746668,1.58,1.82,Increased,-2.0,Negative,-0.42,23.44,20.36,90.91
Walmart,WMT,2023,52.54999923706055,0.76,1.45,1.79,Increased,11.19,Positive,12.64,23.44,20.36,90.91
Walmart,WMT,2024,90.3499984741211,0.832,0.92,9.47,Increased,71.93,Positive,72.85,23.44,20.36,90.91
Walmart,WMT,2025,111.41000366210938,0.94,0.84,12.98,Increased,23.31,Positive,24.15,23.44,20.36,90.91
Exxon Mobil,XOM,2015,77.94999694824219,2.88,3.69,,First Year,,First Year,,34.3,9.02,90.91
Exxon Mobil,XOM,2016,90.26000213623048,2.98,3.3,3.47,Increased,15.79,Positive,19.09,34.3,9.02,90.91
Exxon Mobil,XOM,2017,83.63999938964844,3.06,3.66,2.68,Increased,-7.33,Negative,-3.67,34.3,9.02,90.91
Exxon Mobil,XOM,2018,68.19000244140625,3.23,4.74,5.56,Increased,-18.47,Negative,-13.73,34.3,9.02,90.91
Exxon Mobil,XOM,2019,69.77999877929688,3.43,4.92,6.19,Increased,2.33,Positive,7.25,34.3,9.02,90.91
Exxon Mobil,XOM,2020,41.220001220703125,3.48,8.44,1.46,Increased,-40.93,Negative,-32.49,34.3,9.02,90.91
Exxon Mobil,XOM,2021,61.18999862670898,3.49,5.7,0.29,Increased,48.45,Positive,54.15,34.3,9.02,90.91
Exxon Mobil,XOM,2022,110.3000030517578,3.55,3.22,1.72,Increased,80.26,Positive,83.48,34.3,9.02,90.91
Exxon Mobil,XOM,2023,99.9800033569336,3.68,3.68,3.66,Increased,-9.36,Negative,-5.68,34.3,9.02,90.91
Exxon Mobil,XOM,2024,107.56999969482422,3.84,3.57,4.35,Increased,7.59,Positive,11.16,34.3,9.02,90.91
Exxon Mobil,XOM,2025,120.33999633789062,4.0,3.32,4.17,Increased,11.87,Positive,15.19,34.3,9.02,90.91
